Accuracy (bitErr %),w/o NN Accuracy,CodeWordMismatchBit%,DesignSNR,TestSNR, CodeWordLength, MessageLength, CodeRate, numMsgPerEpic, batchSize, epochs, epics, lossFunction, Layer1Nodes, Layer2Nodes, Layer3Nodes, Layer4Nodes, Layer5Nodes, Layer6Nodes, Layer7Nodes, Layer8Nodes
0.775,0.94,0.22125,20,1,8,4,0.5,30000,2048,35,20,binary_crossentropy,1024,1024,0,0,0,0,0,0
1.0,1.0,0.0,20,20,8,4,0.5,30000,2048,35,20,binary_crossentropy,1024,1024,0,0,0,0,0,0
